34586,Empress Ki,4.55,968,1,2013,"{45,4,6,36,7}",0,0,0,10,9,4,3,1,8,10
37168,You're All Surrounded,4.27,960,1,2014,"{1,7,4}",0,0,0,0,10,10,0,9,8,10
26055,Queen Inhyun's Man,4.35,946,1,2012,"{34,50,11,31,7,30,45,6,37,5,4}",0,9,0,10,8,6,1,3,7,10
32739,Who Are You?,3.99,902,1,2013,"{26,25,7}",0,0,0,0,10,6,2,0,5,8
50527,Weightlifting Fairy Kim Bok Joo,4.7,891,1,2016,"{44,7,6}",7,0,0,0,10,0,2,0,10,1
31591,Protect the Boss,3.85,886,1,2011,"{7,6,1}",0,0,0,0,9,2,10,4,8,9
31761,Gu Family Book,4.31,886,1,2013,"{25,7,45,6,28}",0,10,2,0,8,4,3,8,5,9
49286,Let's Fight Ghost,4.3,879,1,2016,"{12,6,1}",7,0,0,10,7,5,0,8,9,10
48002,Uncontrollably Fond,4.1,878,1,2016,"{7,6}",3,0,0,0,8,10,9,7,8,10
34753,Weekly Idol (?? ???),4.61,877,1,2011,"{37,1}",2,0,0,0,10,10,2,6,9,8
38060,Fated to Love You,4.08,876,1,2014,{6},0,0,0,10,7,1,10,0,4,2
42718,The Lover,4.21,874,1,2015,"{1,7}",2,8,6,10,2,2,5,3,8,9
50358,Hwarang,4.56,863,1,2016,"{6,45,7}",0,0,0,0,9,0,0,0,10,6
31599,"Me Too, Flower",3.87,831,1,2011,{7},0,0,0,0,9,0,10,3,7,6
37845,High School - Love On,4.05,820,1,2014,"{7,6,12}",0,0,0,0,9,7,9,2,6,3
49205,Doctors,4.2,812,1,2016,"{35,6}",5,0,0,0,10,8,1,10,8,10
27585,The Innocent Man,4.25,805,1,2012,"{6,7}",0,0,0,0,6,9,3,10,4,10
39375,Birth of a Beauty,3.84,793,1,2014,"{1,7,6}",0,0,0,2,0,4,8,10,8,3
27278,Ma Boy,3.59,783,1,2012,"{1,2,18,7}",9,0,10,0,8,1,7,0,9,2
27350,The Moon That Embraces the Sun,4.23,771,1,2012,"{12,45,25,6,7}",0,9,0,3,6,3,8,5,9,10
37510,Roommate (????),4.27,762,2,2014,"{37,2,76,32}",0,0,0,0,8,0,4,6,9,5
50522,The K2,4.19,753,1,2016,"{6,4}",0,0,0,0,10,9,0,8,4,9
38652,Show Me The Money (KR),4.4,752,4,2014,"{37,32,96}",0,0,0,0,8,0,5,0,8,6
30067,Missing You (2012),3.95,745,1,2012,{6},7,0,0,0,9,8,2,5,9,10
38787,Liar Game (SK),4.28,734,1,2014,{25},0,0,0,0,10,2,5,3,7,3
33984,Secret Love,4.28,715,1,2013,"{28,6,32,26,7}",7,0,0,9,6,1,9,0,9,7
26740,Lie to Me,3.86,711,1,2011,"{1,7,6}",0,0,0,0,7,1,10,1,9,5
38788,Bad Guys,4.28,707,1,2014,"{26,4,28}",0,0,0,0,9,10,0,7,6,8
