,X[[i]]
639,35003
640,42768
641,39456
642,30055
643,20688
644,39711
645,44459
646,35003
647,42768
648,49950
649,7858
650,16088
651,20688
652,32637
653,32447
654,25670
655,7858
656,32448
657,20688
658,25670
659,39711
660,27407
661,20688
662,32637
663,32447
664,39711
665,18508
666,44459
667,20688
668,39711
669,18508
670,30494
671,44459
672,35003
673,16088
674,20688
675,32637
676,32447
677,25670
678,39711
679,7858
680,47638
681,30668
682,25910
683,25663
684,42684
685,30494
686,34753
687,34914
688,27488
689,38652
690,27585
691,16088
692,20688
693,32637
694,32447
695,25670
696,39711
697,20688
698,27407
699,18508
700,35003
701,38015
702,24329
703,32448
704,20688
705,32637
706,32447
707,25670
708,30494
709,32448
710,32637
711,32447
712,25670
713,39711
714,27407
715,20688
716,35003
717,42768
718,24329
719,34753
720,43044
721,20688
722,32637
723,32447
724,25670
725,39711
726,27407
727,16088
728,32637
729,32447
730,25670
731,39711
732,27407
733,20688
734,32447
735,39711
736,34626
737,30494
738,44459
739,7858
740,20688
741,32447
742,39711
743,27407
744,34626
745,7858
746,20688
747,32637
748,32447
749,27407
750,34626
751,7858
752,20688
753,25670
754,39711
755,27407
756,34626
757,20688
758,30494
759,35003
760,49950
761,30055
762,34753
763,35003
764,24329
765,34914
766,27488
767,38747
768,38652
769,7858
770,32447
771,25670
772,39711
773,27407
774,34626
775,16088
776,32448
777,20688
778,32637
779,25670
780,39711
781,16088
782,32448
783,25670
784,39711
785,34626
786,30494
787,16088
788,20688
789,32447
790,25670
791,39711
792,34626
793,32637
794,39711
795,34626
796,44459
797,42768
798,39456
799,20688
800,32447
801,39711
802,34626
803,30494
804,35003
805,32448
806,25670
807,39711
808,27407
809,34626
810,44459
811,20688
812,32637
813,32447
814,25670
815,39711
816,34626
817,7858
818,16088
819,20688
820,25670
821,39711
822,18508
823,7858
824,16088
825,32448
826,20688
827,32637
828,25670
829,20688
830,32637
831,32447
832,39711
833,18508
834,30494
835,20688
836,39711
837,27407
838,18508
839,30494
840,35003
841,32448
842,20688
843,25670
844,27407
845,30494
846,35003
847,7858
848,16088
849,32448
850,32447
851,25670
852,39711
853,32448
854,20688
855,32637
856,32447
857,25670
858,39711
859,20688
860,25670
861,30494
862,34753
863,34914
864,38747
865,20688
866,32637
867,32447
868,39711
869,34626
870,30494
