19371	Famous Princesses	5	4	1	2006	{6}
19692	Angel's Kiss	0	5	1	1998	{6}
19943	Stairway to Heaven	3.65	40	1	2003	{6}
20012	Days in the Sun	0	4	1	2002	{6}
20465	Ja Myung Go	4	21	1	2009	{7,45}
20531	We Got Married (우리 결혼했어요)	4.16	456	4	2008	{37,1,34,7}
20563	Loving You	3.5	9	1	2002	{6}
20637	Bad Boys (KR)	2	11	1	2000	{6}
20688	Running Man	4.83	1602	2017	2010	{1}
20752	Love of Thousands Years	3.56	38	1	2003	{6}
20757	Romance (KR)	4	19	1	2002	{6}
20798	Great Expectations	3.88	13	1	2006	{6}
20894	Strong Heart (강심장)	4.42	196	1	2009	{37,54}
20949	Sea of Sisters	0	2	1	2005	{10,6}
21052	Immortal Lee Soon Shin	0	8	1	2004	{4,27,6}
21127	Song of the Prince	0	2	1	2005	{6}
21167	Bright Girl’s Success	3.1	20	1	2002	{6}
21536	Money’s Warfare	2	6	1	2007	{6}
22080	Lovers	4	17	1	2001	{1,6}
22250	Scent of a Woman	4.18	278	1	2011	{6,7}
22252	Be Strong, Geum-soon	3.43	13	1	2005	{6}
22586	Ms. Kim’s Million Dollar Quest	3.67	8	1	2004	{1,6}
22772	Beethoven virus	4.07	533	1	2008	{6,7,32,1}
22809	The Return of Iljimae	3.96	61	1	2009	{45,7}
22847	Fireworks	3.13	21	1	2006	{6}
22864	Dancing with the Stars (KS)	5	8	1	2011	{37,10,11,32}
22930	Shining Days	5	4	1	2004	{6}
23042	MAGIC	3	12	1	2004	{6}
23153	Star King (스타킹)	4.13	93	1	2007	{18,11,32,10,38,37}
23235	Sad Love Story	4	22	1	2005	{6,32}
23300	A Farewell to Sorrow	4	4	1	2005	{6}
23432	Bodyguard	2.33	9	1	2003	{6}
23585	Stained Glass	3.67	16	1	2004	{6}
23951	Surgeon Bong Dal Hee	3.75	11	1	2007	{6}
24328	Love Rain	4.05	1676	1	2012	{6,7}
24329	White Christmas	4.48	1489	1	2011	{26,6}
24330	What's Up	4.06	288	1	2011	{6,1}
24423	Flowers for My Life	3.17	16	1	2007	{6,7}
24480	Haru : An Unforgettable Day in Korea	3.59	84	1	2010	{7,4,1,6,32}
24484	The Fugitive: Plan B	4.05	270	1	2010	{6,4,1,7}
24485	Princess Ja Myung Go	4.23	40	1	2009	{45,6}
24486	I Am Sam	3.17	93	1	2007	{7,1,6}
24657	Fashion 70s	5	7	1	2005	{6,10}
24929	Cinderella	3.88	18	1	1997	{6,10}
25542	Into the Sun	4	4	1	2003	{6}
25567	Big	3.99	1238	1	2012	{7,1,6}
25603	Spy Myung Wol	3.99	356	1	2011	{1,7}
25648	My Country Calls / Secret Agent Miss Oh	3.68	34	1	2010	{7,1}
25649	My Happy Home / My Sweet Home	3.67	11	1	2010	{6,25}
25663	Shut Up Flower Boy Band	4.17	2224	1	2012	{32,7,6}
25670	City Hunter (SK)	4.31	3016	1	2011	{7,6,4}
25676	Bad Guy	3.98	241	1	2010	{26,7,6}
25711	49 Days	4.26	1634	1	2011	{6,7,12}
25723	The Age of Warriors	5	2	1	2003	{6,4}
25752	Rookie	5	2	1	2000	{6}
25810	Rosemary	5	2	1	2003	{6}
25842	Doctor Brothers	4	4	1	2007	{6}
25850	Miss Mermaid	0	3	1	2002	{6}
25909	K-POP - The Ultimate Audition	3.76	1723	1	2012	{32,7,6}
25910	To the Beautiful You	3.99	2921	1	2012	{1,7,6}
25937	Sweet Buns	0	2	1	2004	{6,1,7}
26001	The Next	1.5	4	1	2005	{6}
26055	Queen Inhyun's Man	4.35	946	1	2012	{34,50,11,31,7,30,45,6,37,5,4}
26121	The Greatest Love	4.11	499	1	2011	{7,6,1}
26297	Into the Storm	0	2	1	2004	{6,7}
26330	Thank You, My Life	5	3	1	2006	{6}
26395	Law Firm	5	4	1	2001	{6,7}
26400	Love & Hate	0	3	1	2006	{6,10,7}
26410	A Thousand Days' Promise	4	42	1	2011	{6,7}
26421	Bad Girls (KR)	0	1	1	2002	{6}
26604	Emperor Wang Gun	5	6	1	2000	{4,6}
26620	Girls' High School People	5	4	1	2002	{6}
26704	Capital Scandal	3.87	51	1	2007	{6,45,1,7}
26740	Lie to Me	3.86	711	1	2011	{1,7,6}
26800	Crossed Fate	5	3	1	2007	{7,6}
26822	Sunshine (KR)	1	2	1	2002	{6}
26851	Time Slip Dr. Jin	3.61	257	1	2012	{35,12,45}
26856	Faith	4.27	1838	1	2012	{5,45,25,7,12,35}
26962	Sweetheart	5	3	1	2003	{6,10}
27042	3 Leaf Clover	3.75	14	1	2005	{6}
27096	Shin Don	0	3	1	2005	{6}
27198	My Husband's Woman	0	3	1	2007	{6}
27224	Foxy Lady!	3.72	55	1	2006	{1,6}
27269	Legends of Love	0	2	1	2000	{6}
27278	Ma Boy	3.59	783	1	2012	{1,2,18,7}
27287	Arang and the Magistrate	3.87	529	1	2012	{12,7,1}
27297	Freeze	2.5	13	1	2006	{6,7,25,30,26}
27299	New Tales of Gisaeng	4.11	115	1	2011	{6,7}
27300	Soul	3.96	66	1	2009	{28,26,6,30,25,7}
27301	Killer K	3.25	71	1	2011	{26,4}
27305	Dream of 400 Years	3.63	47	1	2011	{7,12,6}
27327	Crazy in Love	3.86	15	1	2007	{6,7}
27348	The Princess' Man	4.34	272	1	2011	{45,6,7}
27350	The Moon That Embraces the Sun	4.23	771	1	2012	{12,45,25,6,7}
27352	Snow Flakes	5	2	1	2003	{6,10}
27382	You and I	3	3	1	1997	{10,6}
27399	the King 2 Hearts	4.17	603	1	2012	{6,4,1,36}
27407	Heartstrings (You've Fallen for Me)	4.09	3173	1	2011	{7,11,2,76,32}
27452	Lawyers	2	4	1	2005	{6}
27488	Reply 1997	4.39	1283	1	2012	{6,1}
27513	Coffee House	3.5	262	1	2010	{31,6,7,1}
27585	The Innocent Man	4.25	805	1	2012	{6,7}
27600	PUNCH	4.5	3	1	2003	{6}
27642	Secret	0	4	1	2000	{6}
27673	Remember	0	3	1	2002	{6}
27713	Seoul 1945	0	5	1	2006	{27,6}
27737	Memories (KR)	5	2	1	1998	{6}
27877	Heaven's Fate	0	2	1	2004	{6}
27883	MIna	5	2	1	2001	{6}
27905	My Rosy Life	0	2	1	2005	{6}
27955	End of Love	5	3	1	2006	{6}
28032	Great Ambition	4	5	1	2002	{6,4}
28063	Chuno	4.35	65	1	2010	{6,5,45}
28083	May Queen	4.42	95	1	2012	{6,7,10}
28084	Five Fingers (2012)	4	69	1	2012	{32,7,6}
28156	Ghost	4.3	126	1	2002	{6}
28176	Salt Doll	0	2	1	2007	{6}
28183	The War of Roses	5	2	1	2004	{6}
28189	The Age of Innocence	3.25	7	1	2002	{6}
28226	So In Love	5	2	1	2006	{6}
28292	Dangerous Love	5	6	1	2005	{6,7}
28295	Pearl Necklace	5	3	1	2003	{6}
28305	That Woman	5	3	1	2005	{6}
28309	Mr. Duke	5	3	1	2000	{6}
28361	Moon Hee	0	2	1	2007	{6,10}
28382	Love Letter	4.4	9	1	2003	{6}
28408	Behind The White Tower	2	6	1	2007	{6}
28441	Spring Days	3	8	1	2005	{6}
28442	When Spring Comes	4	6	1	2007	{7,6}
28483	Rules of Love	3	8	1	2005	{6}
28514	Glass Shoes	3	5	1	2002	{10,6}
28538	The Unstoppables	5	2	1	2000	{6}
28569	April Kiss	0	4	1	2004	{7,6}
28579	Hero: Unseen Warfare	3.45	65	1	2009	{1}
28639	December Fever	3	2	1	2004	{6}
28829	Four Sisters	4.93	48	1	2001	{10,6}
28842	Rooftop Prince	4.29	1757	1	2012	{7,12,1}
28891	East Of Eden (KR)	3.92	49	1	2008	{10,4,6}
28895	History of the Salaryman	4.17	65	1	2012	{6,97,1}
28918	Hearts of Nineteen	0	5	1	2006	{1,7,6}
28919	Smile, You	3.61	33	1	2010	{7,10,1}
28957	Roses and Bean Sprouts	5	2	1	1999	{6}
29014	Ladies of the Palace	5	3	1	2001	{6}
29035	My Name Is Princess	0	4	1	2002	{6}
29096	Feast of Gods	3.71	24	1	2012	{7}
29109	Juliet…s Man	5	2	1	2000	{6}
29165	90 Days, Time to Love	4.14	18	1	2006	{6}
29171	Stars Falling From the Sky	3.74	73	1	2010	{1,7,6}
29190	My Beloved Sister	0	1	1	2006	{6}
29228	Haeundae Lovers	3.29	41	1	2012	{4,7,6,1}
29229	Golden Bride	4	14	1	2007	{10,6,7}
29243	Phoenix (KR)	3	6	1	2004	{6}
29313	Sweet Heart, Sweet Darling	5	2	1	2005	{6}
29321	Hotelier	3.83	19	1	2001	{97,6}
29345	Wedding	3.17	9	1	2005	{6}
29356	Bad Couple (KR)	3.13	48	1	2007	{6,1,7}
29358	Cheongdamdong Alice	3.71	697	1	2012	{57,7,1}
29359	School 2013	4.27	1819	1	2012	{6,1}
29371	Into the Sunlight	0	2	1	1999	{6}
29372	Let's Get Married	0	3	1	2005	{1,6}
29374	Creating Destiny	3.78	26	1	2009	{7,10}
29420	SWAT Police	5	4	1	2000	{28,4,6}
29480	Paradise Ranch	3.54	191	1	2011	{10,7,104,1,6}
29488	A Thousand Kisses	3.6	85	1	2011	{7,6}
29494	The King of Dramas	4	441	1	2012	{7,1,6}
29498	Prosecutor Princess	3.88	260	1	2010	{7,1,28,6}
29499	Panda and Hedgehog	3.59	613	1	2012	{56,7,1}
29516	Vampire Prosecutor	4.07	406	2	2011	{28,6,12,25}
29537	The Kingdom of The Winds	4.45	28	1	2008	{45,12}
29553	Obstetrics and Gynecology Doctors	4.05	111	1	2010	{6,35}
29603	Gyeoul Yeonga	3.95	122	1	2009	{7,29,6}
29658	Golden Apple	0	3	1	2005	{6,10}
29667	Beautiful Temptation	5	3	1	2004	{6}
29687	Flower Boy Ramyun Shop	3.9	2140	1	2011	{1,7}
29692	My Princess	3.77	405	1	2011	{1,6,7}
29750	First Love (2003)	0	5	1	2003	{6}
29755	Fairy and Swindler	5	3	1	2003	{6}
29850	Stock Flower	5	3	1	2001	{6,7}
29865	Full House 2	3.94	612	1	2012	{7,1}
29976	Lotus Flower Fairy	5	3	1	2004	{6}
30006	TV Novel - Wind Flower	5	3	1	2005	{6}
30055	Flower Boy Next Door	4.07	3649	1	2013	{7,2,1}
30067	Missing You (2012)	3.95	745	1	2012	{6}
